id	parity	herd	ys	sex	dam	bw	day115	adg115	bf115	lma115	lean115
DDSHXX517271004	2	16	173	2	DDSHXX516129504	1.9	221.94	509.6	12.32	37.52	54.15
DDSHXX514188902	1	18	144	2	DDSHXX513011210	1.28	185.2	614.04	10.37	NA	NA
DDSHXX515144302	1	12	152	2	DDSHXX514061012	1.9	173.46	652.02	10.59	37.02	54.55
DDSHXX516252209	4	13	163	1	DDSHXX514093502	1.95	188.05	601.17	12.71	40.88	55.33
DDSHXX518166808	1	16	182	2	DDSHXX517166306	1.1	194.08	586.87	11.53	49.19	59.01
DDSHXX518207304	3	15	182	2	DDSHXX516258704	2.25	179.23	629.08	10.29	47.43	58.75
DDSHXX517316003	3	12	174	1	DDSHXX516082704	1.9	163.7	690.9	9.98	38.64	55.4
DDSHXX517151106	1	16	172	2	DDSHXX516148902	1.35	184.36	616.46	13.45	47.26	57.58
DDSHXX515255205	3	11	153	1	DDSHXX513024708	1.68	179.48	631.38	15.92	41.91	54.61
DDSHXX517301208	2	14	174	2	DDSHXX516193202	1.5	190.31	596.4	12.81	48.13	58.14
DDSHXX515207403	5	15	153	1	DDUSWFD13001706	1.56	196.54	577.19	10.98	41.34	56.11
DDSHXX515225910	1	13	153	2	DDSHXX514112006	0.96	223.39	510.5	14.6	41.19	54.79
DDSHXX516246809	3	14	163	1	DDSHXX515004104	1.4	155.56	730.26	13.62	44.99	56.62
DDSHXX516222405	5	16	163	1	DDSHXX513002604	1.25	181.27	627.52	11.86	38.99	54.88
DDSHXX516089214	6	11	161	2	DDUSWFD13020304	0.96	194.1	587.53	17.42	52.73	58.34
